,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26751,29800509,1,2,0,3,0,0,0,0,0,0,0,Phoenix Suns,26.0,92.0,L,20.0,8.0,21.0,-1,1999,6
26752,29800510,2,5,1,4,0,0,0,0,0,0,1,Minnesota Timberwolves,41.0,89.0,L,21.0,11.0,25.0,-7,1999,12
26753,29800511,6,6,1,1,0,0,0,0,0,0,1,Oklahoma City Thunder,43.0,93.0,L,25.0,14.0,22.0,-5,1999,14
26754,29800513,1,2,0,1,0,0,1,0,0,0,1,Charlotte Hornets,48.0,92.0,W,24.0,11.0,17.0,2,1999,5
26755,29800515,2,1,1,3,0,0,0,0,0,0,2,Golden State Warriors,44.0,91.0,W,20.0,15.0,22.0,1,1999,7
26756,29800516,6,3,1,2,0,1,0,0,0,0,1,San Antonio Spurs,42.0,84.0,L,22.0,9.0,15.0,-26,1999,12
26757,29800517,3,2,1,1,1,0,0,0,0,0,1,Portland Trail Blazers,41.0,97.0,W,19.0,17.0,20.0,27,1999,7
26758,29800518,3,7,1,1,0,0,0,0,0,0,0,Denver Nuggets,44.0,104.0,L,18.0,12.0,17.0,-6,1999,12
26759,29800519,3,3,0,1,0,0,0,0,0,1,0,Chicago Bulls,36.0,81.0,L,21.0,8.0,15.0,-6,1999,8
26760,29800520,5,4,2,2,0,0,0,0,0,0,0,New York Knicks,48.0,93.0,W,21.0,18.0,23.0,15,1999,13
26761,29800522,3,2,0,1,0,0,0,0,0,0,0,Milwaukee Bucks,30.0,92.0,L,23.0,13.0,21.0,-3,1999,6
26762,29800523,3,3,1,1,0,0,0,0,0,1,2,Detroit Pistons,37.0,79.0,L,18.0,13.0,23.0,-9,1999,9
